date,channel,spend,clicks,impressions
2023-02-08,email_marketing,2771.84,149,1341
2023-06-10,fb_ads,3115.88,156,936
2023-04-05,Facebook Ads,4571.7,266,5320
2023-06-16,Organic,,73,730
2023-01-13,email_marketing,7280.14,133,1995
2023-04-17,Organic,4882.56,235,1410
2023-04-21,Facebook Ads,5399.22,287,3444
2023-03-04,Organic,,131,1310
2023-05-19,fb_ads,9357.12,215,4300
2023-06-28,Google Ads,4705.32,277,2770
2023-05-27,Facebook Ads,5498.9,231,3003
2023-01-18,Facebook Ads,9984.37,177,2124
2023-06-07,Google Ads,4364.48,209,1881
2023-01-15,Organic,7143.03,79,1501
2023-04-09,fb_ads,,153,1530
2023-04-15,email_marketing,1732.15,166,1494
2023-03-08,Facebook Ads,6005,128,2432
2023-05-26,Email,2146.35,205,3690
2023-04-04,Google Ads,,64,1216
2023-02-07,googleads,6640.46,265,2385
2023-04-02,googleads,6908.17,297,5346
2023-06-22,Organic,9404.03,171,2736
2023-06-11,fb_ads,5219.14,166,2490
2023-04-15,email_marketing,,322,2576
2023-01-02,Google Ads,2309.97,131,2096
2023-03-24,email_marketing,7754.36,281,4215
2023-03-04,Google Ads,,268,3484
2023-03-13,googleads,5682.43,320,3520
2023-02-10,email_marketing,5149.02,282,5358
2023-05-02,email_marketing,10284.02,247,3952
2023-02-24,googleads,5098.66,257,4112
2023-02-15,Facebook Ads,4269.44,391,3910
2023-03-18,Facebook Ads,5360.14,178,1602
2023-02-08,Email,,287,1435
2023-05-01,Google Ads,6734.37,160,960
2023-05-05,Email,6152.9,79,553
2023-02-01,Email,5369.94,236,4248
2023-05-31,Organic,8414.66,138,1656
2023-05-30,email_marketing,2443.29,128,1920
2023-02-18,Facebook Ads,2326.86,306,4590
2023-05-08,email_marketing,,225,1575
2023-05-24,Facebook Ads,7442.59,210,1260
2023-05-10,Facebook Ads,4809.78,173,1038
2023-05-22,Email,4379.22,76,1444
2023-03-06,Organic,5528.51,196,1372
2023-01-30,Email,6490.72,207,3933
2023-03-01,email_marketing,4674.59,130,1430
2023-05-26,Facebook Ads,5144.31,259,1554
2023-02-05,googleads,2713.32,206,2472
2023-01-07,email_marketing,5466.09,142,2272
2023-05-26,Organic,3824.29,218,2616
2023-05-22,email_marketing,2733.16,227,2724
2023-02-20,googleads,3209.29,285,5415
2023-05-05,googleads,9675.66,131,1572
2023-05-15,Google Ads,6068.42,141,2115
2023-05-21,googleads,7081.91,98,1470
2023-05-09,Google Ads,5961.17,130,1820
2023-05-18,Google Ads,4586.03,117,1755
2023-03-27,Google Ads,6644.7,133,2128
2023-05-05,Facebook Ads,6103.93,172,2924
