event_id,user_id,session_id,event_name,event_timestamp,traffic_source,device_category,country
evt_1,user_2620,sess_913,page_view,2023-05-15 23:53:00,fbads,mobile,US
evt_2,user_572,sess_6034,page_view,2023-05-04 04:32:00,googleads,tablet,Germany
evt_3,user_131,sess_245,page_view,2023-02-09 19:14:00,Facebook Ads,tablet,France
evt_4,user_109,sess_4598,add_to_cart,2023-05-11 08:20:00,Organic,mobile,Germany
evt_5,user_2414,sess_2279,page_view,2023-05-19 03:16:00,G-Ads,tablet,Germany
evt_6,user_1394,sess_2277,add_to_cart,2023-02-09 04:43:00,Email,mobile,India
evt_7,user_1557,sess_793,purchase,2023-06-04 06:45:00,Email,tablet,UK
evt_8,user_3306,sess_356,scroll,2023-04-08 14:48:00,googleads,desktop,India
evt_9,user_2262,sess_2402,session_start,2023-06-11 04:35:00,Email,tablet,US
evt_10,user_2886,sess_570,page_view,2023-05-01 09:06:00,Facebook Ads,desktop,India
evt_11,user_3504,sess_1908,page_view,2023-03-11 04:47:00,fbads,desktop,
evt_12,user_3417,sess_2989,add_to_cart,2023-03-09 09:20:00,Email,mobile,
evt_13,user_1094,sess_5750,page_view,2023-04-21 21:20:00,G-Ads,tablet,
evt_14,user_1003,sess_1339,scroll,2023-03-11 01:51:00,fbads,tablet,
evt_15,user_2282,sess_1800,purchase,2023-06-03 10:28:00,Google Ads,mobile,India
evt_16,user_3298,sess_2585,scroll,2023-02-18 17:46:00,googleads,mobile,France
evt_17,user_3590,sess_5882,purchase,2023-02-08 16:58:00,organic_search,desktop,
evt_18,user_1880,sess_1171,purchase,2023-01-26 10:03:00,Facebook Ads,tablet,France
evt_19,user_2208,sess_2153,session_start,2023-03-19 23:51:00,Organic,desktop,US
evt_20,user_567,sess_4175,scroll,2023-01-17 13:11:00,Google Ads,mobile,US
evt_21,user_2571,sess_1311,scroll,2023-04-19 13:45:00,googleads,desktop,Germany
evt_22,user_2441,sess_3835,session_start,2023-02-15 18:26:00,Google Ads,tablet,
evt_23,user_470,sess_5585,session_start,2023-05-17 16:38:00,fbads,tablet,UK
evt_24,user_457,sess_2405,scroll,2023-01-29 19:00:00,organic_search,mobile,
evt_25,user_3588,sess_5896,purchase,2023-06-26 22:14:00,G-Ads,tablet,India
evt_26,user_3566,sess_5123,purchase,2023-06-03 05:18:00,Facebook Ads,mobile,UK
evt_27,user_3124,sess_1324,session_start,2023-06-23 13:54:00,Google Ads,tablet,UK
evt_28,user_2002,sess_160,page_view,2023-06-19 03:17:00,Email,desktop,US
evt_29,user_238,sess_1974,session_start,2023-06-22 09:17:00,googleads,mobile,
