transaction_id,customer_id,revenue,product_category,transaction_date
txn_1,user_2206,2397.37,Footwear,2023-03-26
txn_2,user_1775,1889.39,Beauty,2023-02-24
txn_3,user_2503,2518.15,Accessories,2023-02-20
txn_4,user_2758,3218.42,Apparel,2023-04-21
txn_5,user_338,1812.68,Apparel,2023-06-14
txn_6,user_2456,1812.69,,2023-04-18
txn_7,user_2708,3263.37,,2023-06-30
txn_8,user_1949,2613.95,Footwear,2023-06-20
txn_9,user_2846,1624.42,Accessories,2023-01-27
txn_10,user_1289,2434.05,,2023-04-23
txn_11,user_3237,1629.27,,2023-06-01
txn_12,user_1801,1627.42,,2023-04-01
txn_13,user_148,2193.57,Beauty,2023-06-07
txn_14,user_2429,469.38,,2023-02-02
txn_15,user_3002,620.07,,2023-04-12
txn_16,user_2122,1550.17,Accessories,2023-03-16
txn_17,user_323,1189.74,,2023-03-02
txn_18,user_842,-2251.4,Apparel,2023-01-23
txn_19,user_1311,1273.58,,2023-05-19
txn_20,user_1302,870.16,Apparel,2023-02-13
txn_21,user_1585,3172.52,Footwear,2023-01-26
txn_22,user_2122,-1819.38,,2023-06-27
txn_23,user_2689,2054.02,,2023-03-04
txn_24,user_3073,860.2,Footwear,2023-02-13
txn_25,user_946,1564.49,,2023-02-01
txn_26,user_2253,2088.74,Footwear,2023-02-07
txn_27,user_2436,1079.21,Beauty,2023-04-01
txn_28,user_1635,-2300.56,,2023-01-16
txn_29,user_3427,1519.49,Footwear,2023-06-08
txn_30,user_2112,1766.65,Apparel,2023-06-15
txn_31,user_2745,1518.63,Accessories,2023-06-24
txn_32,user_1317,3481.82,Accessories,2023-02-20
txn_33,user_122,-1989.2,,2023-03-16
txn_34,user_3206,1153.83,,2023-04-26
txn_35,user_3024,2658.04,Accessories,2023-02-01
txn_36,user_2656,1023.33,Beauty,2023-03-30
txn_37,user_3555,2167.09,Footwear,2023-01-25
txn_38,user_1645,432.26,Footwear,2023-04-04
txn_39,user_909,937.45,Footwear,2023-06-30
txn_40,user_1776,2157.49,Accessories,2023-04-27
txn_41,user_3009,2590.77,,2023-05-10
txn_42,user_3333,2137.09,Apparel,2023-04-27
txn_43,user_240,1907.48,Accessories,2023-01-06
txn_44,user_1870,1759.12,Beauty,2023-04-20
txn_45,user_1748,-817.18,Beauty,2023-05-28
txn_46,user_2625,1424.12,Apparel,2023-05-12
txn_47,user_3836,1631.49,Footwear,2023-04-20
txn_48,user_336,2845.7,Beauty,2023-05-12
txn_49,user_2525,2274.89,Accessories,2023-02-23
txn_50,user_557,589.57,Accessories,2023-05-08
txn_51,user_1111,2259.27,,2023-03-08
txn_52,user_263,1691.93,Accessories,2023-01-04
txn_53,user_2763,1458.46,Accessories,2023-02-20
txn_54,user_2330,2489.34,Accessories,2023-05-12
txn_55,user_3457,2824.8,,2023-04-10
txn_56,user_206,-2745.02,Apparel,2023-05-22
txn_57,user_2704,1328.63,Apparel,2023-05-12
txn_58,user_2000,1752.63,,2023-02-25
txn_59,user_2176,2265.01,Apparel,2023-06-01
txn_60,user_883,2780.44,,2023-06-11
txn_61,user_2626,1616.66,Apparel,2023-05-25
txn_62,user_390,1851.47,,2023-02-26
txn_63,user_2290,1114.93,Apparel,2023-06-06
txn_64,user_2189,1043.03,,2023-02-02
txn_65,user_395,2650.02,Apparel,2023-01-25
txn_66,user_3473,3084.99,Apparel,2023-04-30
txn_67,user_3019,1942.39,Beauty,2023-01-03
txn_68,user_421,2802.83,,2023-04-21
txn_69,user_2920,2289.31,Accessories,2023-02-02
txn_70,user_517,1483.9,Accessories,2023-06-02
txn_71,user_3206,-2289.12,Footwear,2023-06-25
txn_72,user_2124,3230.43,Footwear,2023-05-11
txn_73,user_440,1971.34,Beauty,2023-04-22
txn_74,user_1381,3251.71,Apparel,2023-05-05
txn_75,user_3884,-95.8,Apparel,2023-02-22
txn_76,user_342,2657.52,Beauty,2023-03-16
